full_text,view_count,bookmark_count,favorite_count,reply_count,retweet_count,created_at,followers_count,following_count,favourites_count,Source_File,sentiment
America Iran China Bangladesh amp India Politics of Power Conspiracy   via ,12,0,0,0,0,"06/01/2024, 22:07:54",143,130,26159,Week 1.csv,negative
"ElectionWatch  The Violent Politics of Bangladeshs  Elections

Read it here   ",1069,0,3,0,0,"06/01/2024, 22:01:13",55471,3884,6101,Week 1.csv,neutral
" she also had Not won miss Bangladesh back then

another one of my friends had been asked out with one of the top   participants and that participant is lowkey a marxfem and super cool

we wont be getting into the politics of beauty pageants but yes",36,0,1,0,0,"06/01/2024, 21:59:07",834,1575,82295,Week 1.csv,positive
 Critics in Bangladesh are of the view that election system is designed not to reflect the will of the people,3,0,0,0,0,"06/01/2024, 20:45:07",14,6,2046,Week 1.csv,negative
"  Being proactive is better than reactive we cannot afford Nepal bhutan myanmar Bangladesh sri lanka Maldives going to china camp it should ring like alarm bells r off

Our sphere of influence cannot be compromised irrespective of their domestic politics",264,0,3,5,0,"06/01/2024, 20:44:25",124,283,1479,Week 1.csv,neutral
"    

Bangladesh elections vote politics Election 
Trump JungKook Epstein YumnaZaidi Dhaka Nayab ",329,0,0,0,0,"06/01/2024, 20:02:08",2,7,3,Week 1.csv,neutral
"A group of Dhaka University students formed a human chain yesterday and urged voters to refrain from casting votes and stay home on January  calling it a one sided election
Bangladesh NationalElection NewsUpdates DhakaUniversity Students 
",1045,0,17,0,2,"06/01/2024, 19:31:28",1878911,64,461,Week 1.csv,neutral
  To stop this Bangladesh  election circus which is making a mockery of the election systemAmerica needs to intervene urgently before the country becomes entirely dysfunctionalIn shortwithout direct US interventionthe madness being perpetrated by the dictator cannot be stopped,32,0,0,1,0,"06/01/2024, 19:25:58",238,313,14893,Week 1.csv,negative
both are Leader in Bangladesh Politics ,10,0,0,0,0,"06/01/2024, 18:51:10",0,1,0,Week 1.csv,positive
"SAARC scholarship in Bangladesh for Pakistan students for MBBS and BDS for session  are application are open now
 February   Last date to apply online link given below 
 ",54,0,0,1,0,"06/01/2024, 18:48:09",192,0,4,Week 1.csv,neutral
youre  working a full time a min wage job which means you havent done much with your life yet you have the audacity to dehumanize others just bcs theyre from bangladesh,15,0,0,2,0,"06/01/2024, 18:18:52",30,338,11629,Week 1.csv,negative
"Highlights  IGPPExpertTalks on BangladeshElections

A look back at Bangladeshs struggle for liberation its commitment to democracy amp slip into military rule

Watch the full discussion here 

BangladeshElections Elections SheikhHasina ",131,0,3,0,2,"06/01/2024, 18:18:17",840,344,1223,Week 1.csv,neutral
"Bangladesh General Elections on January th by BALLOT PAPERS  and  Observers from the World including  from India  invited to watch the Process of FAIR ELECTIONS
Can we Dare to Adopt such System ",13,0,0,0,0,"06/01/2024, 18:04:38",198,12,53961,Week 1.csv,neutral
FPVideo Bangladeshs main opposition Bangladesh Nationalist Party BNP has called for a hour nationwide strike to protest against the Sheikh Hasina Government and January  general election ,4190,0,10,0,3,"06/01/2024, 17:44:01",2121782,906,442,Week 1.csv,negative
Just send him to Pakistan or Bangladesh to do his further teaching job,2,0,0,0,0,"06/01/2024, 17:31:51",188,656,18148,Week 1.csv,neutral
With the controversial general elections in Bangladesh  just a day away some parties have already called on their supporters to protest in the streets,9347,1,28,0,3,"06/01/2024, 17:16:15",158554,2309,10750,Week 1.csv,negative
  Coz he is the candidate for election in Bangladesh which held tomorrow All about politics,361,0,4,0,0,"06/01/2024, 17:09:45",78,966,11248,Week 1.csv,neutral
BNP  Bangladesh Nationalist Party  holds out a protest march in Dhaka against the th Parliamentary elections asking people to boycott ,191,0,0,0,0,"06/01/2024, 16:49:41",3230,89,2625,Week 1.csv,negative
"As Bangladesh goes to polling tomorrow watch my conversation with Prof Sanjay Kumar Bhardwaj on the complexities of electoral politics in Bangladesh and what it means for India
Bangladesh BangladeshElections",1376,0,3,0,1,"06/01/2024, 16:40:28",176,79,1957,Week 1.csv,neutral
 The current dictatorial government of Bangladesh has turned the whole of Bangladesh into a prison There is no such thing as minimum human rights The whole of Bangladesh has gone into the hands of one person There is nothing to say about the minimum justice system of Bangladesh,11,0,0,0,0,"06/01/2024, 16:26:50",49,378,5040,Week 1.csv,negative
  MardeMomin agar Uss time Islam k liye lar rhy hoty toh tum pajeets iss waqt zinda na hoty politics thi iss liye ye sab hua aur waisy toh ye b tum logon ki haar hai k Bangladesh abhi b aik Islamic country hai ,136,0,0,4,0,"06/01/2024, 16:09:37",847,208,116656,Week 1.csv,neutral
"IGPPExpertTalks EPISODE  Bangladesh General Elections 

As Bangladesh heads to polling this Sunday Ms Heena Goswami  Editorial Consultant  discusses with Prof Sanjay K Bhardwaj 
  the state of democracy in ",438,0,6,0,4,"06/01/2024, 16:00:06",840,344,1223,Week 1.csv,neutral
Further antisemitism from Bangladeshs Information minister He said this at another press briefing Another matter Netra News David Bergman wrote an article as you know on Bangladeshs politics and election David Bergman is a Jew XXXs son in law hes a Jew It is the,8896,0,37,4,8,"06/01/2024, 15:56:30",78983,878,241,Week 1.csv,negative
On the dead democracy of Bangladesh in order to continue the bloodthirsty party leadership election as a parliamentary election the current Awami League of Sheikh Hasina wants to run politics standing on the coal ashes of those people by setting fire to moving buses and trains,23,0,0,1,0,"06/01/2024, 15:40:42",394,695,91,Week 1.csv,negative
"  Theres that but it also doesnt land because unlike civil rights the comfortable middle and upper class activist is not directly suffering from the effects of ecological disruption

A stronger protest would from Bangladesh or other areas where there is dispossession and death",42,0,0,0,0,"06/01/2024, 15:38:46",800,1094,6779,Week 1.csv,negative
  Because the MeToo Identity Politics crusade is only about upper middleclass women climbing further up the establishment tree so they too can be with the one percenters These feminists couldnt give a hoot about Palestinian Bangladesh or Filipino women or their plight MeMeMe,39,0,1,0,0,"06/01/2024, 15:30:46",313,406,9245,Week 1.csv,negative
"The crippled caretaker Bangladeshs system of caretaker government is seen as a successful exercise in allowing free and fair elections but the countrys current political crises can be traced back to this imperfect arrangement

From  by Ali Raza
",244,0,1,0,0,"06/01/2024, 15:30:00",18594,2,1032,Week 1.csv,neutral
"In Dhakas Kawran Bazar thousands of activists from Bangladeshs main opposition  held a protest march and mass meeting to demand the resignation of fascist Hasina and the boycott of the DummyElection

StepDownHasina BNP ",70,0,4,0,0,"06/01/2024, 15:07:01",261,1146,2014,Week 1.csv,neutral
Justice system seemed to be hijacked by  establishment And Pakistan is bearing its  cost Our establishment must learn from India Bangladesh China and and Bangladesh Its shameful fact that Bangladesh Government doing better than Pakistan,7,0,0,0,0,"06/01/2024, 15:04:05",5,29,2,Week 1.csv,negative
Creating a Circular Fashion System in Bangladesh ,26,0,0,0,0,"06/01/2024, 14:53:13",100,1,0,Week 1.csv,neutral
"Bangladesh poll booths burn on election eve as train arson kills four 
DHAKA  Polling booths were set ablaze in Bangladesh on the eve of Sundays general elections while
bangladesh election politics
",28,0,0,0,0,"06/01/2024, 14:46:50",38,7,3,Week 1.csv,negative
"Western democractic countries will not congratulate these lopsided farcical dummy elections supported by the RampAW 
India must stop its intervention in Bangladesh domestic politics and must stand with BD people rather than supporting Awami LeagueStepDownHasina",230,0,5,0,1,"06/01/2024, 14:44:06",5160,870,57989,Week 1.csv,negative
 You know that Bangladesh judicial system is corrupted and maximum justice are appointed by ruling Awami League so Independent investigation needed under United Nation,38,0,0,0,0,"06/01/2024, 14:19:22",2529,488,51286,Week 1.csv,negative
VIDEO  Bangladesh general elections  Bangladesh Nationalist Party BNP workers and leaders protest in Dhaka against PM Sheikh Hasinaled government ,6704,0,20,1,3,"06/01/2024, 14:16:11",4326201,3,0,Week 1.csv,neutral
"WATCH  Bangladesh Nationalist Party BNP takes out a protest rally in Paltan area ahead of the general elections in the country scheduled for January 

 ANI ",2608,0,8,1,1,"06/01/2024, 14:14:23",8672647,131,2900,Week 1.csv,neutral
"peddles debunked lies about the Bangladesh war

Job human rights aktivist
india needs humansagainsthumanrightsactivists movement",49,0,0,0,0,"06/01/2024, 14:00:39",60,219,9803,Week 1.csv,negative
 It will become Saddams time for the Iraqi Election in Bangladesh however it is right for one who doesnt favour the Sariya system rule there,49,0,0,0,0,"06/01/2024, 13:58:51",107,165,11922,Week 1.csv,neutral
"There is no guarantee of the life of the people of Bangladeshdhaka


ShameonBangladeshiCorruptPolitics
LeaveBangladesh 
Thisisnotmyindependentcountry 
NofreedomofvoiceinBangladesh 
Nofreedomofspeechin
NojusticeinBangladesh ",14,0,1,0,0,"06/01/2024, 13:42:19",2,26,98,Week 1.csv,negative
"WATCH  Dhaka  Bangladesh Nationalist Party BNP takes out a protest rally in Paltan area ahead of the general elections in the country scheduled for January  

The protesters say that they are protesting against a fraudulent and farce election ",52430,2,60,8,7,"06/01/2024, 13:19:31",8506242,0,71,Week 1.csv,neutral
"The weaponization of the judicial system to attack journalists human rights defenders and civil society leaders diminishes the independence of the judiciary and erodes fundamental human rights stated a group of UN special rapporteurs
",3225,0,175,4,30,"06/01/2024, 12:46:33",68620,183,459,Week 1.csv,negative
"   
  

   
   

Bangladesh elections vote politics Election 
Trump JungKook Korea Epstein Dilan TikTok Nayab ",208,0,0,0,0,"06/01/2024, 12:26:00",2,7,3,Week 1.csv,neutral
"NewsUpdate    

Bangladesh  PMSheikhHasina  protest  NewsTamilx ",360,0,5,0,1,"06/01/2024, 12:16:06",114105,1,30,Week 1.csv,neutral
 Is there caste system in bangladesh,10,0,0,0,0,"06/01/2024, 11:41:27",128,152,22437,Week 1.csv,neutral
As Bangladesh goes into its election even if theres effectively only one party to elect a selection of s indepth coverage of BD politics society electoral drama  including prophetic pieces from our archives predicting todays faultlines many years ago,1749,1,16,1,2,"06/01/2024, 11:22:31",2245,1216,1222,Week 1.csv,neutral
 You dont have the slightest knowledge about the politics of Bangladesh Do you know that every time BNP has participated in the elections they have asked for army deployment in the country But why are you having allergies,21,0,0,1,0,"06/01/2024, 11:21:52",189,751,16444,Week 1.csv,negative
"Watch  Prof Sanjay K Bhardwaj   deliberate on Bangladeshs politics as the country goes to the polls tomorrow  

Catch the full discussion with Ms Heena Goswami  Editorial Consultant on the latest episode of ",106,0,5,0,4,"06/01/2024, 11:20:50",840,344,1223,Week 1.csv,neutral
"  release all BNP protestors drop any charges brought against them for solely exercising their right to freedom of expression and right to protest
 Conduct an impartial investigation of all extrajudicial killings and enforced disappearances particularly in Bangladesh",4,0,0,0,0,"06/01/2024, 11:06:53",127,656,2186,Week 1.csv,negative
"Garment workers protest in Bangladesh 

What is the impact of the garment workerss strike on the global economy 

 tells you more

Watch more on  ",1582,0,3,1,2,"06/01/2024, 10:53:49",490580,89,7119,Week 1.csv,neutral
"  
       
      

Bangladesh elections vote politics Election 
Trump Dilan Nayab ValentinesDay Dhaka TikTok ",24,0,0,1,0,"06/01/2024, 10:51:30",2,7,3,Week 1.csv,neutral
"The BNP does not want to take the responsibility for violence over tomorrows election even though the party called a countrywide twoday strike that includes the election day
Bangladesh BangladeshElections Elections politics BNP NewsUpdate 
",2247,0,83,7,10,"06/01/2024, 10:37:24",1878913,64,461,Week 1.csv,negative
" The hartal began at am and will end at am on Monday
 A large number of people have left Dhaka city ahead of the polls
 The number of vehicles on the street fewer compared to other days
 Bangladesh Elections politics  ",520,0,1,1,0,"06/01/2024, 10:30:01",545580,194,37,Week 1.csv,neutral
The people of Bangladesh want peace in the country want assurance of proper education want assurance of healthy food want assurance of proper medical system  Do not want to see the country being biting like a ferocious beast,6,0,0,0,0,"06/01/2024, 10:14:22",2,83,37,Week 1.csv,neutral
"Opposition parties in Bangladesh protesting against election under Sheikh Hasinas rule for lacking genuine democratic choice

feedmile SheikhHasina Bangladesh protest Opposition BNP election ",40,0,1,0,1,"06/01/2024, 10:00:03",4533,0,168,Week 1.csv,negative
Bangladesh Story of two women in politics  Bangladesh  Elections  World News  WION ,15,0,0,0,0,"06/01/2024, 09:54:14",9536,294,71,Week 1.csv,neutral
    Ive  personally seen how disrespectful muslim children are towards Hindus specially when it comes to madrasa students Bangladesh amp Pakistanis are way more toxic Still as a community we dont support any kind of killings but their behaviour makes us think otherwise,41,0,0,2,0,"06/01/2024, 09:40:42",2,8,189,Week 1.csv,negative
 Eliminating race based quotas will hurt your Indian Bangladesh Nepali people who benefit from the work ADOS people worked for via Civil Rights Movement,12,0,0,0,0,"06/01/2024, 09:38:47",463,683,115,Week 1.csv,negative
"     
     

Bangladesh elections vote politics Election 
Trump Dilan Nayab ValentinesDay Dhaka TikTok ",47,0,0,0,0,"06/01/2024, 09:37:54",2,7,3,Week 1.csv,neutral
"Imports from Bangladesh under  do not believe in the Indian system they are just vote count for facilitator  
  must take cognizance of it and the person who was supposed to be raided be picked up for the real interrogation",10,0,0,0,0,"06/01/2024, 09:00:50",270,177,876,Week 1.csv,negative
  Majority country in world have state religion amp doing well except Pakistan and Bangladesh because this converted Muslims are good for anything  If India have a state religion then this type of things have never happened to stop vote bank politics India need state religion,59,0,3,0,0,"06/01/2024, 08:30:59",213,370,3273,Week 1.csv,neutral
" Supporters and activists of Gono Odhikar Porishod party ride rickshaws during a protest march demanding free and fair elections and supporting the boycott of Sundays parliamentary elections in Dhaka Bangladesh Jan    

 AP ",3410,0,4,1,1,"06/01/2024, 08:30:00",1699167,252,77,Week 1.csv,neutral
" m persons with disabilities and m senior citizens in Bangladesh
 EC says main obstacle is lack of information on number of voters with special needs
 Babgladesh politics Elections 
",439,0,5,0,0,"06/01/2024, 08:25:42",545580,194,37,Week 1.csv,negative
" Boycot the election 
As Bangladesh opposition is doing 
Who had stopped you 

Go to SC who has stopped you as far my knowledge CJI is quite neutral in his stand which is expected from him 

Why no cry of evm happened In karnataka Telengana Himachal TamilNadu",28,0,0,0,0,"06/01/2024, 08:19:38",45,142,1397,Week 1.csv,neutral
"World Class Fuji Electric Brand Online UPS System Successfully running for Data Center and other Critical Load Power conditioning and Backup

For Bangladesh Please communicate with us
sohaghossaincom
 ",20,0,0,0,0,"06/01/2024, 08:19:01",0,2,0,Week 1.csv,positive
"Even progressive Ldrs can be w autocratic tendcs
Lopsided Bangladesh Polls leave disillusioned voters askin whats d point
SheikhHasina  set to tighten grip as polls boycotted by main opp
  
Better wouldve bn bar religion in politics",26,0,0,0,0,"06/01/2024, 07:52:46",6622,4543,153514,Week 1.csv,negative
Women Still Underrepresented in Bangladesh Politics ,4,0,1,0,0,"06/01/2024, 07:26:47",565,2335,57679,Week 1.csv,neutral
This is called Sabotage This is not Politics BNP  JAMAT  Alliance set fire on Passengers  Train from Benapole to Dhake Before General Election  in Bangladesh BNP  JAMAT Alliance  trying to protection this Election from Beganing ,69,1,2,0,0,"06/01/2024, 05:50:31",184,505,2806,Week 1.csv,negative
"STOP   Violance  This is not Politics  This is call Sabotage This is Murders 
STOP   STOP  It
A picture of Train Fire Sabotage before General Elections of Bangladesh  done by opposition BNP  JAMAT  Alliance ",68,0,1,0,0,"06/01/2024, 05:20:37",184,505,2806,Week 1.csv,negative
Rahman pictured maintained a presidential system and ran himself being elected in a landslide He was assassinated in  by rogue military officers but the army stayed loyal to his government of the Bangladesh Nationalist Party led now by Vice President Abdus Sattar ,28,0,2,1,0,"06/01/2024, 04:44:00",61,47,9,Week 1.csv,neutral
"The Violent Politics of Bangladeshs  Elections 

Bangladeshs political landscape is dominated by rivalry between two political parties 
the socialistsecular AL Awami League
and
the conservativenationalist BNP Bangladesh Nationalist Party ",16,0,0,1,0,"06/01/2024, 03:02:55",2771,2764,9202,Week 1.csv,neutral
 Bangladeshs politics is personal revengeful and violent This is the unfortunate reality of a nation that has a long history of struggle for freedom and aspiration for progress,367,0,0,0,0,"06/01/2024, 02:31:48",731,3362,6457,Week 1.csv,negative
"BNP is resorting to arson attacks instead of participating in the upcoming th national polls They are also lobbying foreign diplomats sensing defeat This is a clear attempt to disrupt the peace and stability of the country Bangladesh Politics
",47,0,0,0,0,"06/01/2024, 02:03:28",59,207,2930,Week 1.csv,negative
  Ministers words are true  BNP does politics with religion  To understand the pronunciation of the word Jew here one must understand Bengali culture  There is nothing more to say when someone lies for selfinterestBangladesh,178,0,0,0,0,"06/01/2024, 01:57:44",59,207,2930,Week 1.csv,negative
"The workers are still miserably suffering Many of them have lost their job or faced attendance deduction

In  today   president  member of the FLA Board of Directors weighed in on the ongoing situation in Bangladesh",444,1,16,1,16,"06/01/2024, 01:33:05",1932,853,641,Week 1.csv,negative
the face of politics in Bangladesh May Allah punish the criminal with the same punishment,42,0,0,0,0,"06/01/2024, 01:19:35",36,246,2196,Week 1.csv,negative
Devastating train fire kills at least  in Bangladesh ahead of countrys national elections bangladeshnews BangladeshElections Elections Elections Dhaka politics SouthAsian ,467,0,5,2,2,"06/01/2024, 01:07:39",1926,832,654,Week 1.csv,negative
"Amnesty International has urged Bangladesh to ensure that all arrests are made following international human rights law and standards
Election NationalElection Protest FairTrial
",737,0,6,1,0,"06/01/2024, 00:53:01",1878913,64,461,Week 1.csv,neutral
 whole bangladesh mayanmar Nepal border must hv been permanently fenced  electrification with armed post visa system digital recording but govt now wl start this We r suffering because of weak govt corrupt inefficient bureaucracy and govt run by under educated ,9,0,0,0,0,"06/01/2024, 00:32:23",59,416,157,Week 1.csv,negative
 India are trying to occupy BangladeshThey interfere in our politicsEducationalmost everything Thats why the people of Bangladesh hate India,18,0,0,1,0,"06/01/2024, 00:20:14",93,212,12242,Week 1.csv,negative
"The common people of Bangladesh want peace  Most people are not interested in politics  Such vandalism is not desirable in the context of elections  The administration is a complete failure  The people of the world should stand by the common people of Bangladesh
  ",217,0,2,2,0,"05/01/2024, 23:41:28",783,2289,25262,Week 1.csv,negative
            India out from Bangladesh India destroyed Democracy in Bangladesh and interesting politics inside Bangladesh is not safe under Autocratic Ruller Killer Sheikh Hasina No more Hasina      ,13,0,0,0,0,"05/01/2024, 23:28:28",96,804,545,Week 1.csv,negative
"In an effort to expand the digital education experience and achieve maximum benefit we at HAND are working on creating digital content for other countries such as Mauritania Bangladesh and Afghanistan
During the year  this project benefited  students ",27,0,2,0,1,"05/01/2024, 23:27:00",27,23,5,Week 1.csv,positive
"This is our Fucking Bangladesh 
StepDownHasina 
Hey Allah save us from these toxic politics ",17951,6,71,12,19,"05/01/2024, 23:16:14",12,136,291,Week 1.csv,negative
" Pakistan is easy People just dont accept caste system anymore Thats why Pakistan and Bangladesh are mostly from lower caste

They dont want to become slave anymore And Islam offered them equality And a lot more Like burning widows",11,0,0,1,0,"10/03/2024, 02:44:21",346,153,15101,Week 10.csv,neutral
Happiness is seeing your students express their pride in a sari they wore to school  parents taking pictures in front of Shahid Minar a symbol of Language in Bangladesh  and reading your book that you wrote in Bangla to Congresswoman Nydia Vasquez  bangladuallanguage ,121,0,0,0,0,"10/03/2024, 02:23:37",374,761,971,Week 10.csv,positive
Bangladeshs dominantparty system needs more competition between and within parties inside the bureaucracy and in the economy writes our  ,1155,0,4,2,1,"10/03/2024, 01:31:01",163774,2886,12359,Week 10.csv,neutral
"Bangladeshi politicians recent antiLGBTQ hate speech and opposition to transgender inclusion in textbooks is unacceptable Denying humanity of lgbt amp using slurs have no place in politics or education



 
 
 ",30,0,3,0,2,"10/03/2024, 01:16:21",97,12,55,Week 10.csv,negative
"Why do bangladesh even have a cricket team  afganistan has a better and plays better then them our cricketers just wanna play for some years get famous earn money and join politics please dont play with our emotions at least try to play please 
disappointed",53,0,0,0,0,"10/03/2024, 01:01:17",4,28,2302,Week 10.csv,negative
System gives us a clear view of what people actually want Throwing a wrench in a political system causes it to become dysfunctional as we see in Pakistans and Bangladeshs case Now continuity also give dynastic parties the chance to consolidate themselves And in some states,32,0,0,1,0,"10/03/2024, 00:34:20",625,491,247053,Week 10.csv,neutral
"JP splits again Raushan new faction chie
Bangladesh Politics
",559,0,2,0,0,"10/03/2024, 00:21:22",1879959,64,461,Week 10.csv,neutral
Grateful to have written the prologue to this new volume on Bangladeshs place in the world I argue its global role is growingbut geopolitics economic troubles amp domestic politics could set it back Thanks  for the opportunity ,5464,2,34,4,8,"10/03/2024, 00:03:21",214188,3171,374,Week 10.csv,positive
"Amid polling marked by sporadic incidents of violence Awami League leader Tahsin Bahar Suchona was voted Cumilla city mayor while in Mymensingh
Bangladesh Politics 
",626,0,2,0,0,"09/03/2024, 23:53:28",1879959,64,461,Week 10.csv,neutral
     In the Indian Subcontinent ie India Pakistan Bangladesh amp even Nepalamp SriLanka amp Maldives these Muslims leaders thrive on hate Politics amp Even their Moulvis care more about their  own PowerAny rational intelligent leader wont survive amp darent express his opinion,42,0,0,4,0,"09/03/2024, 23:43:44",229,546,2276,Week 10.csv,negative
 Have you ever  like EVER  seen green protest for better education and ripping conservative Madras breeding ground for extremism atleast in Indian subcontinent or for human rights of kaffir women of Pakistan Bangladesh or even recently Bengal,13,0,0,0,0,"09/03/2024, 23:23:20",125,1572,49751,Week 10.csv,neutral
 Australia offers toptier universities with diverse programs a strong economy and excellent career prospects Interested in studying abroad Explore Australias renowned education system and find the right course for you,13,0,0,0,0,"09/03/2024, 23:12:22",397,452,743,Week 10.csv,positive
 The unfortunate part of our lives But we also responsible for these If we protest jointly work together just like bangladesh did no one can stop us to rule Key is Unity,26,0,0,1,0,"09/03/2024, 23:09:49",453,370,46234,Week 10.csv,neutral
 But We tried to enhance the watch  To indentify the watch  He might also running towards Our Kolkata for Bangladesh  Students has circulated it in University already ,7,0,0,0,0,"09/03/2024, 23:01:38",22,231,2233,Week 10.csv,neutral
"                   

prothomalo bangladesh politics palonews election
",2027,0,5,0,0,"09/03/2024, 22:24:34",4188264,356,193,Week 10.csv,neutral
 Yes too less sample Size Bangladesh amp NZ tour we will get to see Somehow they should bring Iyer back to the system cant leave him,27,0,0,1,0,"09/03/2024, 20:51:01",298,361,27224,Week 10.csv,neutral
  Lakhs of retired Hindu officerssoldiers came out on streets Jantar Mantar to protest and demand OROPBut not a single retired Hindu veteran came on the streets to protest the killingspersecution of Hindus in Kashmir PakistanBangladesh Bhutan,49,0,0,0,0,"09/03/2024, 20:39:06",17,99,1598,Week 10.csv,negative
Todays news from various national newspapers in Bangladesh includes daily snapshots of campuses Students have become accustomed to living amidst this diversity ordinary students in this country have fallen victim to the coercion of terrorist groups known as Chhatra League ,32,0,0,0,0,"09/03/2024, 19:59:16",126,656,2186,Week 10.csv,negative
"Good news
Hajee Mohammad Danesh University administration has given the land for constructing a temporary temple
The Bangladesh university will also process construction of a permanent structure of the temple
Students sent a letter of thanks to me today Little steps ",3535,0,83,2,19,"09/03/2024, 19:40:55",590999,595,2992,Week 10.csv,positive
"  It was abolished in constitution but never on ground
It will always be omnipresent in SE Asian countries like PakIndSri Lanka amp Bangladesh

Their entire power structure amp job structure is based on caste system
Such caste based atrocities happens openly amp dont even make news",869,0,2,1,0,"09/03/2024, 19:33:37",30,0,6918,Week 10.csv,negative
"

US rating agency Moodys Investors Service changed its outlook for Bangladeshs banking system to stable from negative",7,0,0,0,0,"09/03/2024, 19:26:12",7,34,13,Week 10.csv,neutral
"             

prothomalo bangladesh politics palonews
",1911,0,3,0,0,"09/03/2024, 18:37:33",4188264,356,193,Week 10.csv,neutral
"Bangladesh looks like  Chelsea where defenders scored goals and also defended while attack was as

Now in cricket our top order is as  but Lower order doing part time carry job",53,0,1,0,0,"09/03/2024, 18:30:17",5947,1242,42216,Week 10.csv,neutral
"Refuting BNPs claim that thousands of its workers are languishing in jail as political prisoners Home Minister AsaduzzamanKhan today said police have arrested those who have violated laws
bangladesh politics
",621,0,5,1,2,"09/03/2024, 17:14:31",1879959,64,461,Week 10.csv,negative
But he appointed a junior Army as Cheif and reject a highly qualified capable soldier for his wins that junior officer imposed first marshlaw He was grand father Omer AyoubHe is only responsible for involving  Army in politics separation of Bangladesh,48,0,0,0,0,"09/03/2024, 16:33:47",330,513,2043,Week 10.csv,neutral
"Applications for  Exam for Foreign Students for Higher Education in Trkiye is available
Deadline  March 


 Trkiye Yurtdndan renci Kabul Snavna bavurular balad
Son bavuru tarihi  Mart 
 ",96,0,1,0,0,"09/03/2024, 16:23:18",7566,182,1389,Week 10.csv,neutral
 The appeasement gang has lost it this is not going to worktime of such politics is over People are aware now what happened with Hindus in Kashmir Pakistan Bangladesh,11,0,0,0,0,"09/03/2024, 16:05:32",41,20,12155,Week 10.csv,negative
The Bangladesh Community School and College held a science fair in Tripoli on Friday March  The fair showcased a wide range of projects covering various scientific disciplines created by students of the school Visiting the fair Ambassador of Bangladesh to Libya Abul ,770,0,5,0,0,"09/03/2024, 15:42:37",85986,72,0,Week 10.csv,neutral
 Establiment Army is the biggest problem in Pakistan they separate East Pakistan which is now Bangladesh Army Generals job is to go back to barracks not to interfere in Pakistan politics  Finally government of Pakistan should do audit of the Army,18,0,0,0,0,"09/03/2024, 14:38:25",1,26,14,Week 10.csv,negative
" Accuses BNP of disrupting political process through anarchy
 Accuses Tarique of controlling party politics
Bangladesh politics
",395,0,3,0,0,"09/03/2024, 14:33:12",545713,194,37,Week 10.csv,negative
   Its really ridiculous that an officer  who was doing his job correctly is being  punished Is it India or Pakistan or Bangladesh Vote bank politics is ruining our country This govt is the most coward one if this officer is any further tortured,8,0,0,0,0,"09/03/2024, 14:14:08",18,49,1314,Week 10.csv,negative
